Otoliths (mmol/mol Ca),pop,Ni,Fe,Cr,Zn,Pb,Cd,Mn,Mg,K,Na,Sr,Ba,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,Fish TL (cm),Fish SL (cm),Oto L (?),Oto Wid (um),Oto We (mg)
1A,AA,0.629198452,1.192143915,0.624422988,0.095955139,0.798413382,0.230454394,0.904415419,2.766289965,2.106128774,178.8544309,44.46283333,5.111249162,1.880339596,1.487759024,1.666349884,0.72291336,0.655823553,0.668155468,0.646551942,0.560887196,0.258387337,0.478095055,0.441319242,0.33631455,0.187706947,0.235614795,0.3137525,0.207694029,0.194898035,0.245558432,0.200084514,0.203885918,0.264509223,0.179778362,0.27925396,0.274620765,0.219193133,0.188957843,0.287867914,0.105335511,0.200893215,0.22091179,0.181401793,0.135756124,0.240432009,0.120097313,0.116096715,0.169856739,0.155021552,0.199760037,0.217449118,0.222896392,0.209785239,0.133896632,0.157039942,0.173267383,0.154448781,0.176847535,0.145728556,0.154635712,0.134201267,0.168152716,0.177086452,0.135464032,0.169041176,0.118349701,0.223852073,0.112726718,0.169248953,0.166986412,0.174687667,0.118917037,0.130023862,0.146328024,0.126413867,46,39,11073.6,6613.4,165.1
2A,AA,0.810635219,1.13724255,0.589674322,0.028133444,0.66959441,0.214843989,0.794789308,1.391029359,1.749739297,140.6305479,44.54719117,4.991641147,1.353819212,1.078150009,1.752683423,0.737163106,0.703186385,0.922939271,0.494508527,0.551527501,0.340818,0.3865884,0.237681248,0.391682439,0.210766704,0.29059941,0.208391214,0.260950622,0.162869121,0.228291318,0.289971785,0.183827317,0.323516003,0.261354409,0.234835353,0.240241076,0.179310424,0.189139853,0.209895382,0.149512849,0.189658291,0.237013738,0.138411439,0.160198226,0.215064467,0.126429872,0.153573853,0.150983136,0.173239671,0.169389317,0.268638153,0.19412515,0.205147356,0.144719258,0.213915631,0.176038787,0.137983276,0.16041093,0.166232374,0.113673401,0.142700159,0.174419566,0.136311689,0.138545766,0.170302943,0.117828773,0.214289797,0.138152686,0.159743937,0.172939292,0.16879346,0.12058588,0.145153715,0.128486788,0.120096614,32,27,11535,6921,160.5
3A,AA,0.844234306,0.986331137,0.598464129,0.003508223,0.624826664,0.221193238,1.158376538,2.783801701,1.858908726,158.5987438,44.67803578,4.887642583,1.856271158,1.518204937,1.095892373,0.795364685,1.045845035,1.108130418,0.146954518,0.583050834,0.186221131,0.513063606,0.359194737,0.139743935,0.427715331,0.223608591,0.395895227,0.140484916,0.276387168,0.226878395,0.207128973,0.245349766,0.191966605,0.255859801,0.169612851,0.275074217,0.169895856,0.25605985,0.241806682,0.207808554,0.219672857,0.172785141,0.262972512,0.187607903,0.178325418,0.174342116,0.118266823,0.186407776,0.142946989,0.212070205,0.213444086,0.224010776,0.155833094,0.214165838,0.166313882,0.161431507,0.151474403,0.179406439,0.17675266,0.131712211,0.164703758,0.187648777,0.129850555,0.14811684,0.200605069,0.108547572,0.246810743,0.165777256,0.144417815,0.169556906,0.203443462,0.160687002,0.114324987,0.16357081,0.106929921,38,32,11224,6459.6,152.5
4A,AA,0.880805551,1.1098047,0.602304688,0.06205284,0.814974289,0.255264956,1.17590832,1.201108459,1.805254806,166.1150069,42.69032074,4.757737551,1.57870465,2.001872927,1.204567889,0.69951946,0.840693652,0.588287607,0.457225163,0.783442736,0.206826349,0.467330217,0.42913059,0.143025277,0.196482183,0.332718788,0.145875805,0.222507784,0.1,0.233744607,0.183893234,0.194430403,0.343080418,0.186795958,0.291599932,0.289801859,0.199256674,0.175004875,0.220311192,0.12728169,0.202787142,0.223061801,0.135583752,0.153841123,0.204032795,0.163547496,0.185104495,0.145425427,0.171697898,0.1874127,0.206853812,0.225414679,0.151742038,0.229106529,0.205895265,0.147991569,0.153336893,0.175522489,0.178843629,0.157596642,0.15838709,0.179388627,0.147914987,0.153454271,0.149125692,0.153943226,0.236959149,0.157789555,0.12212223,0.157088751,0.172299608,0.138670229,0.146269816,0.140829691,0.118418198,37.5,31,12304,7074.8,224.1
5A,AA,0.857970644,1.473461245,0.544704616,0.003846348,0.584106234,0.2789502,0.654371216,2.873871528,1.776719468,156.7300556,35.05122828,4.93904408,1.765113524,1.050402667,1.934238716,0.633562986,0.783804607,0.522493998,0.745439314,0.514481745,0.399987094,0.23095649,0.346834786,0.286472861,0.352545133,0.217181695,0.273235367,0.221417426,0.131687028,0.254464443,0.164305441,0.250296152,0.303227901,0.145835319,0.228643773,0.240496313,0.185132194,0.282346216,0.202535033,0.152553327,0.215771625,0.225285112,0.17271157,0.149571493,0.201470869,0.177202602,0.162706398,0.148027068,0.137258233,0.233116604,0.179376871,0.265412517,0.202135713,0.186356876,0.189975714,0.159651672,0.128180484,0.189353577,0.152275921,0.109163251,0.185982075,0.17018212,0.120358244,0.168550078,0.1,0.194539609,0.228374641,0.173055116,0.130311953,0.18244867,0.159502144,0.128035311,0.114847179,0.148100333,0.10228427,45,39,12150.2,7228.6,205.9
6A,AA,0.697091072,1.259372339,0.55123062,0.069958091,0.660776666,0.25833488,0.745232064,2.401820135,1.571064337,162.1205516,36.31226224,4.809031524,2.275066873,1.222591357,1.644964761,0.7086813,0.434112646,0.615621517,0.442120641,0.585482863,0.202298361,0.526082855,0.417454201,0.338570183,0.31211818,0.248520358,0.307932655,0.213611995,0.219771385,0.232367114,0.208632646,0.189205379,0.288309987,0.155222059,0.294485886,0.262644498,0.16960262,0.215795603,0.205128213,0.152966797,0.194024112,0.224689733,0.178529683,0.128451655,0.246710361,0.132565782,0.121454964,0.148452601,0.147171482,0.205063085,0.221001401,0.229689928,0.178896167,0.233400525,0.136744768,0.179713306,0.114728847,0.179841244,0.221661433,0.195721538,0.146903978,0.196162356,0.152574,0.18105574,0.152216812,0.134006603,0.240825032,0.159282528,0.167198962,0.158349339,0.177742672,0.124929378,0.132624723,0.151014968,0.1238194,48,40,11535,6767.2,155
7A,AA,0.904758457,1.09992018,0.65121753,0.120145521,0.685424661,0.294366575,0.573321564,2.554832708,1.862187529,173.9942362,38.74471728,5.545027562,1.940977425,1.80821375,1.203508084,0.764711771,0.845957519,0.598669271,0.1,0.689947218,0.1,0.367856821,0.308988771,0.18810948,0.309867243,0.184936135,0.316854091,0.171510531,0.298861829,0.151349988,0.322353606,0.197873941,0.191105008,0.231310516,0.127987762,0.31852617,0.124156416,0.218320099,0.180745949,0.173129482,0.304608284,0.195247714,0.231371017,0.175910378,0.170152453,0.1907191,0.157996358,0.143545974,0.170207174,0.235828061,0.241917296,0.166906535,0.175933798,0.226992753,0.170797686,0.147387662,0.149075145,0.174577755,0.165978681,0.150819404,0.192889969,0.119484572,0.139372107,0.164592208,0.17281222,0.157520737,0.245984979,0.156449911,0.133217119,0.18964599,0.14320024,0.137725519,0.115051466,0.166581742,0.119984268,43,37,11996.4,6767.2,151.2
8A,AA,0.987612743,1.71662574,0.710449068,0.081024471,0.639016169,0.308813419,1.24947342,6.34287885,2.015816706,224.0750202,38.28473361,5.337568065,2.224842604,1.208249275,2.012202621,0.869915772,0.602877932,0.82569123,0.81160911,0.711157713,0.274266577,0.654236938,0.373496441,0.328713684,0.145997754,0.257090898,0.346799637,0.256862395,0.194973564,0.178915455,0.156131718,0.448489417,0.181186863,0.102001587,0.331562837,0.1,0.240989571,0.1,0.171129852,0.153638123,0.214624675,0.224005726,0.140120545,0.141332058,0.213914738,0.133538214,0.122143725,0.182097622,0.127154166,0.240975466,0.226749301,0.236084547,0.160899604,0.237581762,0.219782188,0.113378173,0.207590836,0.147326622,0.144782405,0.11046671,0.227406028,0.172743964,0.181296931,0.136176889,0.171826924,0.146459525,0.242456904,0.151453403,0.136916426,0.169173034,0.159104902,0.129859771,0.12422071,0.140827775,0.103319761,39,34,11842.6,6305.8,151.1
9A,AA,0.859570742,1.291750676,0.638797332,0.046348601,0.615804685,0.352336463,0.943597472,3.662202538,1.707758954,193.6994281,40.29665848,4.476841998,2.3418327,1.297811803,1.6598587,0.709355668,0.685403388,0.663016689,0.415095324,0.432470469,0.133613602,0.452000822,0.250581572,0.185624214,0.399342939,0.214234142,0.309698104,0.115706163,0.357624296,0.219479742,0.214958174,0.214401096,0.1486748,0.284531072,0.1,0.302421771,0.14773374,0.226302587,0.1,0.142181245,0.280750533,0.1,0.309979639,0.179465731,0.213773855,0.160403974,0.123669827,0.177103762,0.1492612,0.200436577,0.239142406,0.184581775,0.182881984,0.240416391,0.163490027,0.154131405,0.145443622,0.18728964,0.16351537,0.117073984,0.165880378,0.170746258,0.15554696,0.157912365,0.156565527,0.17353647,0.240927586,0.132874979,0.152091556,0.153225751,0.149007353,0.153734539,0.12875533,0.16685406,0.120034057,38,32,11535,6921,185.7
10A,AA,0.93510308,1.139616704,0.635614824,0.033668402,0.604349131,0.321590452,1.034768712,0.905599666,1.698515412,175.7906608,42.06610722,4.450096774,1.994315856,1.374984456,0.847328143,1.1467367,0.28090913,0.700709197,0.388657585,0.705227607,0.260443938,0.458662742,0.266685929,0.300771984,0.320188134,0.229280145,0.278978447,0.193061587,0.166280395,0.180956386,0.222095996,0.278808336,0.181019851,0.184491609,0.290806917,0.283443399,0.176861662,0.220932003,0.186848835,0.116017638,0.192812538,0.246530933,0.159792407,0.151851447,0.195491044,0.145272348,0.182532443,0.181614169,0.141418271,0.211613481,0.200629556,0.259016739,0.184689783,0.23913575,0.14823518,0.15397427,0.137441245,0.181897507,0.166640924,0.193292562,0.164534894,0.149578456,0.134939108,0.155726256,0.161751301,0.147626894,0.233013081,0.167216746,0.153345183,0.155638232,0.16810854,0.131823835,0.109572408,0.134483526,0.129617715,38,32,12304,7382.4,214.7
